Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   Egz. 
Pavarde4094         Vardas4094          3      2      5      2      6      1      1      8      9      8      9      6      
Pavarde4095         Vardas4095          2      3      4      6      7      7      6      10     8      5      8      3      
Pavarde4096         Vardas4096          6      2      9      5      8      5      2      6      1      3      6      4      
Pavarde4097         Vardas4097          7      8      3      3      4      8      6      7      5      9      7      4      
Pavarde4098         Vardas4098          4      3      10     6      7      1      9      4      3      5      1      6      
Pavarde4099         Vardas4099          2      8      9      8      10     1      8      10     3      8      6      2      
Pavarde4100         Vardas4100          6      4      7      5      5      2      3      10     5      8      2      8      
Pavarde4101         Vardas4101          5      6      6      4      8      5      1      3      1      3      4      6      
Pavarde4102         Vardas4102          9      9      7      5      10     9      7      6      6      2      1      2      
Pavarde4103         Vardas4103          5      5      10     2      8      4      9      4      5      10     4      9      
Pavarde4104         Vardas4104          6      3      5      9      5      5      3      5      2      6      1      5      
Pavarde4105         Vardas4105          7      5      10     7      4      4      3      9      3      10     6      2      
Pavarde4106         Vardas4106          2      2      7      8      8      2      8      3      10     2      6      4      
Pavarde4107         Vardas4107          8      7      6      9      4      5      10     2      3      2      7      5      
Pavarde4108         Vardas4108          7      10     3      1      10     1      1      3      5      6      7      6      
Pavarde4109         Vardas4109          10     2      1      6      1      4      4      3      1      5      8      2      
Pavarde4110         Vardas4110          9      8      9      4      1      3      4      10     2      10     8      9      
Pavarde4111         Vardas4111          10     2      4      10     4      2      6      7      7      9      3      6      
Pavarde4112         Vardas4112          6      6      3      2      1      4      4      7      4      4      5      8      
Pavarde4113         Vardas4113          2      5      4      5      1      1      8      4      5      10     3      6      
Pavarde4114         Vardas4114          5      1      5      4      1      2      8      10     8      6      5      3      
Pavarde4115         Vardas4115          4      1      9      8      7      2      8      4      10     10     5      2      
Pavarde4116         Vardas4116          6      4      3      9      10     5      6      4      9      4      3      7      
Pavarde4117         Vardas4117          6      8      8      3      8      8      2      6      4      3      2      3      
Pavarde4118         Vardas4118          1      7      6      4      5      9      7      4      6      3      8      4      
Pavarde4119         Vardas4119          10     8      4      7      1      3      7      1      2      3      4      3      
Pavarde4120         Vardas4120          5      10     8      8      1      8      8      4      3      5      7      10     
Pavarde4121         Vardas4121          7      1      7      10     6      5      6      6      5      8      7      4      
Pavarde4122         Vardas4122          8      4      1      2      9      10     5      2      5      3      4      7      
Pavarde4123         Vardas4123          1      6      6      3      4      1      5      2      8      4      9      5      
Pavarde4124         Vardas4124          1      9      4      3      5      9      2      5      6      8      2      1      
Pavarde4125         Vardas4125          1      10     8      6      6      7      2      4      2      7      2      10     
Pavarde4126         Vardas4126          7      2      10     9      1      9      1      4      2      8      8      9      
Pavarde4127         Vardas4127          3      3      10     6      10     7      10     4      6      9      7      3      
Pavarde4128         Vardas4128          10     4      1      1      7      2      6      7      10     3      1      10     
Pavarde4129         Vardas4129          10     6      1      4      6      6      5      4      8      1      10     8      
Pavarde4130         Vardas4130          4      2      9      9      10     1      9      9      6      1      8      2      
Pavarde4131         Vardas4131          5      9      5      10     8      3      2      7      1      4      7      1      
Pavarde4132         Vardas4132          2      1      3      2      6      10     2      9      9      10     2      2      
Pavarde4133         Vardas4133          3      5      6      2      10     6      3      3      3      6      3      10     
Pavarde4134         Vardas4134          10     9      3      1      6      9      10     8      4      9      9      6      
Pavarde4135         Vardas4135          1      6      1      7      5      10     9      1      5      2      10     4      
Pavarde4136         Vardas4136          2      4      6      3      4      6      3      1      6      1      7      8      
Pavarde4137         Vardas4137          5      5      9      3      10     1      1      8      2      3      1      3      
Pavarde4138         Vardas4138          10     5      7      8      9      2      9      1      9      6      5      10     
Pavarde4139         Vardas4139          10     10     9      8      6      1      4      2      6      5      5      7      
Pavarde4140         Vardas4140          6      10     6      7      5      6      5      2      2      1      8      1      
Pavarde4141         Vardas4141          1      8      1      2      7      10     1      2      6      9      9      6      
Pavarde4142         Vardas4142          9      6      8      5      9      8      9      3      5      1      6      5      
Pavarde4143         Vardas4143          4      6      1      4      3      1      4      6      3      3      2      4      
Pavarde4144         Vardas4144          5      10     8      6      10     6      3      1      4      2      4      1      
Pavarde4145         Vardas4145          3      8      1      3      4      2      5      4      4      10     1      1      
Pavarde4146         Vardas4146          8      2      2      5      10     5      4      9      6      2      7      1      
Pavarde4147         Vardas4147          9      4      8      5      7      4      3      4      9      5      4      10     
Pavarde4148         Vardas4148          10     5      6      10     5      4      4      8      10     8      10     5      
Pavarde4149         Vardas4149          9      6      6      9      1      4      4      3      7      5      8      6      
Pavarde4150         Vardas4150          2      9      1      8      1      5      2      9      5      9      3      4      
Pavarde4151         Vardas4151          4      3      9      1      2      4      4      9      5      8      7      10     
Pavarde4152         Vardas4152          3      1      5      2      4      4      10     2      7      7      10     9      
Pavarde4153         Vardas4153          5      1      8      10     5      4      8      2      5      2      7      8      
Pavarde4154         Vardas4154          8      8      1      9      8      8      10     4      4      1      6      4      
Pavarde4155         Vardas4155          1      6      3      10     10     9      7      1      6      10     1      10     
Pavarde4156         Vardas4156          5      6      7      9      2      2      1      8      2      4      10     9      
Pavarde4157         Vardas4157          1      8      5      4      1      4      7      9      6      9      7      5      
Pavarde4158         Vardas4158          2      7      8      5      6      3      3      6      9      8      9      8      
Pavarde4159         Vardas4159          6      7      6      2      5      5      3      7      1      2      7      4      
Pavarde4160         Vardas4160          10     1      7      5      1      3      8      9      1      7      2      7      
Pavarde4161         Vardas4161          5      2      4      8      4      2      5      10     4      1      6      8      
Pavarde4162         Vardas4162          5      4      10     8      9      9      6      9      1      7      4      9      
Pavarde4163         Vardas4163          7      10     8      5      1      6      4      5      2      7      9      8      
Pavarde4164         Vardas4164          10     8      8      3      3      1      5      5      3      10     3      2      
Pavarde4165         Vardas4165          1      2      3      5      1      2      9      6      9      7      1      9      
Pavarde4166         Vardas4166          6      8      2      7      6      4      2      7      8      6      7      7      
Pavarde4167         Vardas4167          2      4      8      8      6      5      2      1      7      7      7      6      
Pavarde4168         Vardas4168          1      2      2      5      10     7      2      9      8      2      8      5      
Pavarde4169         Vardas4169          9      5      4      4      4      3      9      1      8      2      8      9      
Pavarde4170         Vardas4170          10     7      5      4      1      10     10     5      7      6      6      2      
Pavarde4171         Vardas4171          8      6      9      6      10     6      10     8      7      4      3      3      
Pavarde4172         Vardas4172          3      9      4      7      9      5      7      6      9      4      2      10     
Pavarde4173         Vardas4173          2      7      10     9      3      2      10     6      1      2      7      9      
Pavarde4174         Vardas4174          9      7      9      1      3      8      1      9      9      9      9      1      
Pavarde4175         Vardas4175          3      9      6      6      2      2      8      6      3      4      1      1      
Pavarde4176         Vardas4176          9      3      10     9      5      6      7      8      8      1      2      1      
Pavarde4177         Vardas4177          3      7      5      7      8      10     2      2      3      5      6      8      
Pavarde4178         Vardas4178          9      9      10     2      10     5      8      4      4      10     7      4      
Pavarde4179         Vardas4179          3      10     10     10     7      1      4      7      8      1      5      7      
Pavarde4180         Vardas4180          10     2      9      7      9      8      6      7      10     2      7      5      
Pavarde4181         Vardas4181          7      2      7      8      10     8      10     9      3      5      3      8      
Pavarde4182         Vardas4182          9      2      3      10     9      8      7      7      1      4      5      8      
Pavarde4183         Vardas4183          8      3      3      9      9      3      8      9      8      2      3      9      
Pavarde4184         Vardas4184          10     1      3      10     9      2      2      1      7      9      5      10     
Pavarde4185         Vardas4185          2      4      10     5      6      8      5      8      1      6      4      6      
Pavarde4186         Vardas4186          4      1      7      6      1      5      2      1      7      8      5      3      
Pavarde4187         Vardas4187          1      10     4      7      9      1      7      10     6      4      4      8      
Pavarde4188         Vardas4188          7      7      6      7      6      8      9      6      7      6      5      5      
Pavarde4189         Vardas4189          1      5      8      4      1      3      4      1      7      3      2      1      
Pavarde4190         Vardas4190          5      10     2      8      1      6      4      9      7      2      7      7      
Pavarde4191         Vardas4191          3      8      9      3      2      5      8      4      5      9      9      6      
Pavarde4192         Vardas4192          8      10     1      9      9      1      2      9      2      8      7      3      
Pavarde4193         Vardas4193          1      9      9      7      5      1      4      6      2      10     1      5      
Pavarde4194         Vardas4194          4      1      5      5      2      4      5      9      2      4      9      4      
Pavarde4195         Vardas4195          10     1      5      7      4      6      10     3      10     10     3      8      
Pavarde4196         Vardas4196          7      5      10     4      3      3      9      10     8      5      3      1      
Pavarde4197         Vardas4197          8      3      3      10     5      2      3      8      6      1      10     3      
Pavarde4198         Vardas4198          1      9      10     7      5      7      3      1      10     7      5      10     
Pavarde4199         Vardas4199          1      5      9      5      9      7      7      1      5      6      7      8      
Pavarde4200         Vardas4200          6      6      6      3      8      8      3      5      1      6      9      3      
Pavarde4201         Vardas4201          8      10     8      7      2      10     10     9      6      4      1      5      
Pavarde4202         Vardas4202          2      5      10     6      5      1      2      9      6      1      9      1      
Pavarde4203         Vardas4203          5      2      1      2      5      6      5      1      4      4      7      9      
Pavarde4204         Vardas4204          8      3      9      1      3      5      5      5      2      8      8      9      
Pavarde4205         Vardas4205          9      4      2      10     10     9      3      3      8      10     3      9      
Pavarde4206         Vardas4206          4      8      8      1      9      1      1      3      2      1      7      1      
Pavarde4207         Vardas4207          2      9      2      4      8      6      10     8      9      2      10     3      
Pavarde4208         Vardas4208          4      9      9      4      7      2      6      7      9      10     3      6      
Pavarde4209         Vardas4209          10     10     5      4      4      1      8      9      10     6      10     7      
Pavarde4210         Vardas4210          6      5      6      8      2      3      6      6      7      10     4      4      
Pavarde4211         Vardas4211          2      10     6      7      5      5      6      6      10     8      1      5      
Pavarde4212         Vardas4212          10     6      7      7      5      7      3      2      5      8      6      3      
Pavarde4213         Vardas4213          3      9      8      7      2      4      8      5      3      3      7      4      
Pavarde4214         Vardas4214          1      1      7      7      6      4      9      4      3      10     6      2      
Pavarde4215         Vardas4215          4      8      5      1      8      4      9      10     7      5      8      7      
Pavarde4216         Vardas4216          8      9      8      3      9      7      10     6      1      6      4      1      
Pavarde4217         Vardas4217          5      1      4      5      7      9      9      6      6      9      2      1      
Pavarde4218         Vardas4218          4      4      4      4      8      9      9      1      7      4      2      4      
Pavarde4219         Vardas4219          9      2      10     8      10     7      7      8      10     5      1      8      
Pavarde4220         Vardas4220          2      6      4      1      10     9      8      10     10     6      8      6      
Pavarde4221         Vardas4221          9      4      3      10     3      7      1      7      2      9      4      1      
Pavarde4222         Vardas4222          10     7      3      10     10     6      5      8      10     3      6      2      
Pavarde4223         Vardas4223          2      4      3      8      6      10     7      9      8      1      1      5      
Pavarde4224         Vardas4224          9      4      1      10     10     7      7      2      5      9      5      6      
Pavarde4225         Vardas4225          5      10     1      9      2      10     3      2      6      5      2      7      
Pavarde4226         Vardas4226          5      5      6      6      8      5      2      7      6      7      3      4      
Pavarde4227         Vardas4227          1      5      3      10     9      9      7      10     1      2      4      5      
Pavarde4228         Vardas4228          1      1      8      10     3      5      2      2      5      5      4      3      
Pavarde4229         Vardas4229          6      1      2      7      9      1      5      8      10     7      6      4      
Pavarde4230         Vardas4230          4      3      7      8      5      9      7      5      3      3      1      6      
Pavarde4231         Vardas4231          3      4      8      2      8      8      3      2      6      7      1      9      
Pavarde4232         Vardas4232          8      8      4      1      9      3      9      4      8      9      5      6      
Pavarde4233         Vardas4233          9      3      9      9      1      5      1      2      1      8      4      8      
Pavarde4234         Vardas4234          7      10     8      1      1      6      1      4      4      8      3      9      
Pavarde4235         Vardas4235          3      8      10     10     5      3      1      9      5      1      1      8      
Pavarde4236         Vardas4236          9      5      5      7      9      6      3      3      7      6      10     2      
Pavarde4237         Vardas4237          5      8      10     7      2      5      8      4      8      2      5      2      
Pavarde4238         Vardas4238          10     4      5      9      5      3      6      6      10     1      10     6      
Pavarde4239         Vardas4239          8      5      2      6      8      8      1      4      3      5      6      3      
Pavarde4240         Vardas4240          6      4      8      3      10     10     2      3      10     5      6      4      
Pavarde4241         Vardas4241          4      2      2      3      5      8      3      4      7      6      6      10     
Pavarde4242         Vardas4242          9      5      8      4      6      7      7      8      2      2      2      10     
Pavarde4243         Vardas4243          8      4      5      10     5      9      2      7      9      10     8      3      
Pavarde4244         Vardas4244          7      9      6      8      2      7      10     1      2      9      1      9      
Pavarde4245         Vardas4245          2      4      9      8      7      10     10     7      8      2      6      5      
Pavarde4246         Vardas4246          10     5      4      9      2      6      7      7      6      9      7      4      
Pavarde4247         Vardas4247          5      4      3      8      7      3      10     7      3      7      5      1      
Pavarde4248         Vardas4248          6      9      6      6      6      1      5      6      2      4      6      9      
Pavarde4249         Vardas4249          4      4      10     1      4      2      10     5      10     6      5      9      
Pavarde4250         Vardas4250          8      6      2      10     9      10     4      2      8      1      3      4      
Pavarde4251         Vardas4251          7      6      5      2      7      1      6      6      9      2      4      2      
Pavarde4252         Vardas4252          2      4      4      9      4      9      8      9      1      8      1      4      
Pavarde4253         Vardas4253          10     1      10     9      3      7      9      10     4      2      10     3      
Pavarde4254         Vardas4254          10     1      6      7      9      5      4      9      9      1      9      2      
Pavarde4255         Vardas4255          7      1      2      7      1      7      8      5      4      4      9      6      
Pavarde4256         Vardas4256          1      4      7      10     4      1      6      5      10     3      4      2      
Pavarde4257         Vardas4257          3      3      7      9      10     4      3      4      3      1      5      6      
Pavarde4258         Vardas4258          8      7      1      1      8      6      10     3      3      5      2      10     
Pavarde4259         Vardas4259          1      5      4      7      5      1      8      5      6      6      7      1      
Pavarde4260         Vardas4260          9      6      1      6      2      6      7      1      8      6      4      4      
Pavarde4261         Vardas4261          10     7      4      6      6      10     2      4      10     2      5      1      
Pavarde4262         Vardas4262          2      4      4      10     6      5      2      1      8      10     6      10     
Pavarde4263         Vardas4263          8      9      7      9      1      5      6      2      6      10     5      6      
Pavarde4264         Vardas4264          3      10     8      2      4      4      8      8      6      6      4      6      
Pavarde4265         Vardas4265          8      6      7      5      2      3      10     2      6      2      5      1      
Pavarde4266         Vardas4266          7      9      7      9      4      5      2      3      5      7      8      9      
Pavarde4267         Vardas4267          5      8      3      4      4      4      1      1      3      6      8      5      
Pavarde4268         Vardas4268          1      10     8      7      8      4      3      10     2      6      7      2      
Pavarde4269         Vardas4269          9      2      8      7      5      10     3      3      2      1      4      10     
Pavarde4270         Vardas4270          7      7      9      4      4      1      10     1      4      4      9      3      
Pavarde4271         Vardas4271          2      2      2      4      3      1      10     4      2      1      5      8      
Pavarde4272         Vardas4272          1      7      10     9      5      10     8      7      4      4      2      6      
Pavarde4273         Vardas4273          2      6      3      10     2      7      2      9      3      2      5      2      
Pavarde4274         Vardas4274          4      8      9      5      7      8      4      5      4      9      2      1      
Pavarde4275         Vardas4275          9      10     9      1      1      7      9      8      6      7      4      7      
Pavarde4276         Vardas4276          8      8      8      7      4      4      10     1      8      6      2      3      
Pavarde4277         Vardas4277          10     6      5      1      6      3      9      1      6      8      4      1      
Pavarde4278         Vardas4278          8      10     10     6      7      2      1      6      7      4      3      10     
Pavarde4279         Vardas4279          8      5      2      3      1      9      3      7      2      9      10     6      
Pavarde4280         Vardas4280          4      6      5      3      7      8      4      1      5      3      4      7      
Pavarde4281         Vardas4281          8      8      5      3      8      3      6      5      6      2      2      8      
Pavarde4282         Vardas4282          10     10     3      1      5      7      3      3      4      7      9      8      
Pavarde4283         Vardas4283          1      10     7      8      7      7      1      5      7      8      8      3      
Pavarde4284         Vardas4284          3      9      7      4      10     3      1      5      9      8      7      3      
Pavarde4285         Vardas4285          2      7      2      4      9      2      1      10     1      3      9      7      
Pavarde4286         Vardas4286          1      5      8      10     10     3      6      8      8      7      4      5      
Pavarde4287         Vardas4287          6      8      7      4      8      9      3      7      1      8      10     7      
Pavarde4288         Vardas4288          5      8      2      3      5      8      3      4      9      1      8      7      
Pavarde4289         Vardas4289          4      6      8      3      7      6      10     2      1      8      8      4      
Pavarde4290         Vardas4290          3      8      3      5      6      4      9      4      2      1      2      10     
Pavarde4291         Vardas4291          4      1      3      4      8      4      5      6      7      8      4      2      
Pavarde4292         Vardas4292          6      4      1      8      10     9      8      4      7      4      9      2      
Pavarde4293         Vardas4293          5      6      10     3      5      7      3      4      3      3      2      1      
Pavarde4294         Vardas4294          5      10     1      7      2      10     3      8      4      10     9      10     
Pavarde4295         Vardas4295          6      9      9      10     2      5      5      1      6      1      7      6      
Pavarde4296         Vardas4296          5      3      10     3      5      2      7      7      5      8      3      9      
Pavarde4297         Vardas4297          10     1      7      2      3      5      1      6      6      1      1      10     
Pavarde4298         Vardas4298          9      5      9      4      10     7      6      3      5      5      2      3      
Pavarde4299         Vardas4299          3      7      8      10     8      2      5      8      7      6      6      9      
Pavarde4300         Vardas4300          3      4      1      6      6      5      8      9      1      8      6      8      
Pavarde4301         Vardas4301          1      7      7      3      8      6      3      6      6      2      10     1      
Pavarde4302         Vardas4302          6      6      8      10     4      1      4      5      8      10     8      7      
Pavarde4303         Vardas4303          8      5      10     8      8      2      5      4      5      2      4      6      
Pavarde4304         Vardas4304          4      3      4      2      1      1      9      4      7      3      8      5      
Pavarde4305         Vardas4305          7      3      6      5      2      8      2      3      5      5      4      8      
Pavarde4306         Vardas4306          4      3      1      8      5      6      9      2      10     6      5      8      
Pavarde4307         Vardas4307          1      1      3      3      5      1      7      6      9      7      3      6      
Pavarde4308         Vardas4308          3      3      3      8      9      4      2      1      3      4      2      1      
Pavarde4309         Vardas4309          10     4      4      10     2      6      8      3      6      7      7      4      
Pavarde4310         Vardas4310          7      5      9      7      5      1      8      7      4      3      1      2      
Pavarde4311         Vardas4311          10     7      9      10     10     3      1      10     2      9      10     9      
Pavarde4312         Vardas4312          2      6      6      6      2      1      3      7      9      4      3      10     
Pavarde4313         Vardas4313          1      6      10     7      7      5      6      6      1      5      9      3      
Pavarde4314         Vardas4314          1      7      8      7      6      1      10     3      5      2      4      3      
Pavarde4315         Vardas4315          8      10     2      7      3      2      3      1      4      5      3      10     
Pavarde4316         Vardas4316          9      10     7      4      9      9      8      1      8      2      2      9      
Pavarde4317         Vardas4317          5      3      4      1      3      5      6      7      2      7      3      8      
Pavarde4318         Vardas4318          3      7      8      10     9      7      6      4      4      10     5      1      
Pavarde4319         Vardas4319          3      4      9      6      9      6      3      10     8      2      2      8      
Pavarde4320         Vardas4320          6      6      2      3      10     2      5      6      5      5      8      2      
Pavarde4321         Vardas4321          1      8      3      8      5      4      10     5      3      3      8      10     
Pavarde4322         Vardas4322          2      3      3      1      5      1      4      5      7      6      9      10     
Pavarde4323         Vardas4323          3      10     5      5      7      5      4      2      10     8      2      1      
Pavarde4324         Vardas4324          6      3      7      6      4      5      5      6      6      8      2      9      
Pavarde4325         Vardas4325          2      10     4      10     2      4      10     1      6      9      6      3      
Pavarde4326         Vardas4326          5      3      9      6      4      3      7      7      8      2      10     6      
Pavarde4327         Vardas4327          4      5      7      6      2      8      10     10     7      6      2      6      
Pavarde4328         Vardas4328          6      5      3      7      6      7      7      9      2      5      8      10     
Pavarde4329         Vardas4329          8      1      8      4      6      2      8      7      6      7      1      4      
Pavarde4330         Vardas4330          5      8      6      4      5      1      10     8      6      2      10     6      
Pavarde4331         Vardas4331          8      1      9      1      6      5      1      5      3      2      3      8      
Pavarde4332         Vardas4332          6      8      2      5      5      10     7      8      10     10     5      4      
Pavarde4333         Vardas4333          6      8      6      4      5      1      6      5      3      3      4      10     
Pavarde4334         Vardas4334          7      10     9      10     2      2      4      9      8      5      2      1      
Pavarde4335         Vardas4335          3      2      1      4      10     1      1      8      9      1      9      8      
Pavarde4336         Vardas4336          5      8      4      10     7      3      10     1      5      9      10     8      
Pavarde4337         Vardas4337          6      2      9      2      1      7      9      1      7      9      4      3      
Pavarde4338         Vardas4338          1      9      8      9      5      7      5      9      10     5      5      4      
Pavarde4339         Vardas4339          8      7      3      7      2      8      1      4      2      10     1      5      
Pavarde4340         Vardas4340          5      1      5      3      9      9      2      2      6      7      2      9      
Pavarde4341         Vardas4341          6      10     3      8      7      3      9      8      8      4      6      7      
Pavarde4342         Vardas4342          1      4      7      2      2      6      6      10     2      4      8      1      
Pavarde4343         Vardas4343          6      9      3      3      10     4      7      8      3      10     8      4      
Pavarde4344         Vardas4344          2      9      7      5      9      9      3      6      6      3      3      6      
Pavarde4345         Vardas4345          8      9      8      3      7      4      7      6      1      5      6      2      
Pavarde4346         Vardas4346          2      9      8      8      9      8      2      8      7      10     2      8      
Pavarde4347         Vardas4347          4      4      6      5      1      5      7      8      8      5      10     9      
Pavarde4348         Vardas4348          4      10     4      7      8      4      3      6      9      5      8      4      
Pavarde4349         Vardas4349          2      6      8      8      6      2      3      10     4      7      7      3      
Pavarde4350         Vardas4350          2      7      2      9      1      1      4      4      6      5      3      10     
Pavarde4351         Vardas4351          4      1      1      3      6      8      7      1      3      7      7      2      
Pavarde4352         Vardas4352          9      9      6      8      8      7      4      4      9      8      2      4      
Pavarde4353         Vardas4353          8      6      5      5      7      9      2      5      10     2      10     8      
Pavarde4354         Vardas4354          9      10     10     7      7      9      6      8      9      3      5      8      
Pavarde4355         Vardas4355          5      5      3      3      4      1      6      2      4      5      9      5      
Pavarde4356         Vardas4356          8      5      4      8      1      1      4      10     7      6      7      1      
Pavarde4357         Vardas4357          4      2      6      7      9      1      2      2      9      4      3      2      
Pavarde4358         Vardas4358          4      2      1      6      4      2      8      10     6      10     5      6      
Pavarde4359         Vardas4359          7      8      9      9      9      9      1      5      9      10     8      7      
Pavarde4360         Vardas4360          7      2      4      5      4      7      9      5      3      8      4      10     
Pavarde4361         Vardas4361          3      6      2      6      4      4      2      3      3      2      10     7      
Pavarde4362         Vardas4362          8      4      5      4      7      2      7      1      1      6      4      1      
Pavarde4363         Vardas4363          4      4      6      2      1      3      8      6      4      6      7      9      
Pavarde4364         Vardas4364          7      5      10     4      8      10     7      8      4      2      2      2      
Pavarde4365         Vardas4365          7      4      9      7      2      6      1      5      5      2      10     9      
Pavarde4366         Vardas4366          7      10     4      1      7      2      4      4      7      2      8      6      
Pavarde4367         Vardas4367          1      8      4      1      1      7      7      3      8      1      6      10     
Pavarde4368         Vardas4368          5      6      2      3      3      6      2      3      5      7      3      4      
Pavarde4369         Vardas4369          9      3      5      6      1      1      10     3      5      2      3      6      
Pavarde4370         Vardas4370          10     5      2      10     8      6      4      4      8      5      8      2      
Pavarde4371         Vardas4371          10     5      5      6      8      5      9      4      4      7      2      10     
Pavarde4372         Vardas4372          10     5      5      6      9      8      6      5      6      6      4      10     
Pavarde4373         Vardas4373          2      9      10     4      4      10     1      2      4      6      5      2      
Pavarde4374         Vardas4374          1      8      4      2      4      1      4      1      4      1      1      2      
Pavarde4375         Vardas4375          6      2      9      7      2      2      9      8      2      2      9      6      
Pavarde4376         Vardas4376          5      5      7      4      3      10     3      9      5      9      3      5      
Pavarde4377         Vardas4377          10     5      5      9      4      5      2      6      3      3      5      6      
Pavarde4378         Vardas4378          5      4      2      1      1      7      4      1      2      8      10     5      
Pavarde4379         Vardas4379          7      9      9      9      3      5      10     1      7      5      9      2      
Pavarde4380         Vardas4380          10     6      10     3      1      4      10     4      5      5      3      6      
Pavarde4381         Vardas4381          3      9      2      5      7      3      4      7      4      8      7      3      
Pavarde4382         Vardas4382          7      2      4      7      3      6      2      4      2      1      1      9      
Pavarde4383         Vardas4383          5      3      6      2      3      2      6      9      5      6      8      4      
Pavarde4384         Vardas4384          9      7      7      9      6      2      4      1      10     7      7      3      
Pavarde4385         Vardas4385          6      3      10     3      2      4      6      5      2      3      7      3      
Pavarde4386         Vardas4386          5      1      3      7      7      8      3      5      9      3      2      6      
Pavarde4387         Vardas4387          9      4      8      10     2      8      1      7      2      8      8      1      
Pavarde4388         Vardas4388          5      1      2      10     5      6      2      9      5      2      10     9      
Pavarde4389         Vardas4389          1      8      4      1      5      9      4      1      4      1      7      2      
Pavarde4390         Vardas4390          9      2      8      2      8      3      7      10     10     7      7      3      
Pavarde4391         Vardas4391          10     1      10     3      8      4      3      1      8      1      6      5      
Pavarde4392         Vardas4392          8      7      9      2      8      5      8      2      6      1      6      5      
Pavarde4393         Vardas4393          7      5      10     2      9      6      3      9      10     10     10     5      
Pavarde4394         Vardas4394          9      6      1      10     9      8      10     7      9      4      5      3      
Pavarde4395         Vardas4395          6      5      1      5      6      1      6      4      5      10     3      6      
Pavarde4396         Vardas4396          9      10     8      7      7      1      6      9      7      3      9      8      
Pavarde4397         Vardas4397          8      1      8      10     1      6      7      9      8      4      6      8      
Pavarde4398         Vardas4398          8      9      1      6      1      3      7      7      8      4      2      7      
Pavarde4399         Vardas4399          4      9      8      10     3      4      1      5      10     6      6      1      
Pavarde4400         Vardas4400          3      4      9      9      5      5      8      6      10     7      1      6      
Pavarde4401         Vardas4401          10     10     6      6      6      7      3      6      6      7      2      4      
Pavarde4402         Vardas4402          5      6      3      6      8      9      6      7      4      7      3      10     
Pavarde4403         Vardas4403          6      7      6      2      6      7      1      10     1      2      2      10     
Pavarde4404         Vardas4404          9      2      10     8      9      4      5      6      9      8      9      6      
Pavarde4405         Vardas4405          2      2      10     7      3      2      8      2      5      10     7      6      
Pavarde4406         Vardas4406          1      1      10     10     6      3      2      3      1      4      10     6      
Pavarde4407         Vardas4407          3      10     8      1      2      9      10     9      4      10     9      8      
Pavarde4408         Vardas4408          8      6      8      2      6      6      6      7      7      6      6      10     
Pavarde4409         Vardas4409          10     5      8      9      1      4      3      9      1      5      4      5      
Pavarde4410         Vardas4410          4      10     4      3      3      1      7      6      9      4      10     5      
Pavarde4411         Vardas4411          1      2      7      10     3      2      4      3      3      1      7      7      
Pavarde4412         Vardas4412          5      8      3      2      10     1      3      6      2      9      6      7      
Pavarde4413         Vardas4413          10     2      7      10     5      9      8      3      5      2      1      7      
Pavarde4414         Vardas4414          2      7      6      4      10     7      1      10     8      1      9      3      
Pavarde4415         Vardas4415          2      9      1      9      9      7      8      3      2      10     4      2      
Pavarde4416         Vardas4416          4      2      6      2      9      5      8      4      8      7      6      3      
Pavarde4417         Vardas4417          2      1      6      4      1      10     2      2      2      6      9      3      
Pavarde4418         Vardas4418          7      9      2      6      3      1      8      7      5      7      10     2      
Pavarde4419         Vardas4419          5      2      8      5      5      10     9      2      8      4      3      8      
Pavarde4420         Vardas4420          2      10     1      6      3      8      3      4      7      1      2      8      
Pavarde4421         Vardas4421          5      1      4      4      2      7      4      4      9      7      6      8      
Pavarde4422         Vardas4422          1      6      8      8      1      10     4      8      7      8      7      1      
Pavarde4423         Vardas4423          7      2      1      10     2      2      7      1      4      2      2      10     
Pavarde4424         Vardas4424          9      7      4      4      9      4      3      5      9      5      7      9      
Pavarde4425         Vardas4425          8      10     4      5      2      2      1      9      6      5      8      8      
Pavarde4426         Vardas4426          6      7      10     10     6      3      5      4      1      8      9      3      
Pavarde4427         Vardas4427          5      4      4      10     3      8      4      8      5      3      1      6      
Pavarde4428         Vardas4428          4      5      4      2      8      7      2      7      8      10     1      8      
Pavarde4429         Vardas4429          2      7      3      3      9      6      1      3      8      1      7      4      
Pavarde4430         Vardas4430          7      8      7      8      2      8      8      4      8      4      1      4      
Pavarde4431         Vardas4431          1      6      5      7      6      2      7      4      4      4      4      10     
Pavarde4432         Vardas4432          3      8      1      8      3      5      6      1      2      6      5      9      
Pavarde4433         Vardas4433          10     4      3      2      5      9      2      6      9      8      5      7      
Pavarde4434         Vardas4434          8      3      8      3      7      1      9      10     4      7      8      9      
Pavarde4435         Vardas4435          5      10     6      9      9      7      9      4      5      8      9      10     
Pavarde4436         Vardas4436          6      5      5      2      7      7      9      2      3      8      10     3      
Pavarde4437         Vardas4437          10     9      4      5      10     10     5      4      10     10     4      9      
Pavarde4438         Vardas4438          8      4      6      8      10     9      1      9      2      2      5      7      
Pavarde4439         Vardas4439          10     6      10     4      8      1      8      3      4      1      7      10     
Pavarde4440         Vardas4440          3      6      10     9      5      8      3      3      9      5      2      10     
Pavarde4441         Vardas4441          4      7      4      6      5      9      4      3      10     3      2      5      
