Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   Egz. 
Pavarde578          Vardas578           4      7      9      9      6      1      1      6      1      3      4      6      4      3      2      4      4      
Pavarde579          Vardas579           9      1      5      8      2      3      9      6      4      9      3      2      3      8      2      1      3      
Pavarde580          Vardas580           6      6      1      1      9      8      9      5      10     7      6      5      1      9      10     5      1      
Pavarde581          Vardas581           1      7      5      8      5      8      1      2      8      1      7      5      9      1      5      1      5      
Pavarde582          Vardas582           3      5      10     7      3      5      5      5      1      5      7      5      5      9      4      10     9      
Pavarde583          Vardas583           4      6      6      9      5      7      9      7      6      3      5      6      6      2      4      8      6      
Pavarde584          Vardas584           7      8      3      4      10     10     7      5      6      8      9      1      9      4      7      5      7      
Pavarde585          Vardas585           9      6      10     8      5      7      6      5      10     2      6      5      2      7      10     7      1      
Pavarde586          Vardas586           7      6      9      5      5      10     5      4      4      7      5      6      10     4      1      5      4      
Pavarde587          Vardas587           8      10     8      1      10     5      9      6      9      2      4      2      3      1      4      6      4      
Pavarde588          Vardas588           8      7      1      1      9      10     7      7      10     5      4      5      4      1      4      2      5      
Pavarde589          Vardas589           1      1      4      7      1      5      6      9      4      1      10     10     1      10     3      9      6      
Pavarde590          Vardas590           10     10     1      8      3      4      5      1      3      3      2      4      2      1      7      3      7      
Pavarde591          Vardas591           9      2      2      2      8      4      9      8      7      8      6      4      7      2      4      1      2      
Pavarde592          Vardas592           7      8      8      3      10     4      10     8      9      9      8      7      10     3      7      8      4      
Pavarde593          Vardas593           6      4      4      9      10     9      3      4      1      5      8      2      5      5      3      3      4      
Pavarde594          Vardas594           1      4      7      1      4      4      1      6      4      2      10     3      5      9      9      9      3      
Pavarde595          Vardas595           4      5      10     9      4      4      2      4      3      9      8      1      2      5      8      1      3      
Pavarde596          Vardas596           8      1      1      2      8      1      6      6      2      2      5      6      5      2      10     8      3      
Pavarde597          Vardas597           6      1      5      2      4      9      10     6      8      7      4      2      10     10     4      2      5      
Pavarde598          Vardas598           3      9      6      3      4      10     8      3      8      3      1      5      5      8      4      1      10     
Pavarde599          Vardas599           6      5      7      3      9      1      9      9      8      4      8      4      2      2      3      2      7      
Pavarde600          Vardas600           1      3      4      10     6      10     4      8      3      8      3      3      5      10     3      4      1      
Pavarde601          Vardas601           4      3      6      7      6      3      4      2      5      6      2      8      2      9      3      3      8      
Pavarde602          Vardas602           4      6      10     7      7      10     8      6      1      4      2      9      6      4      9      9      10     
Pavarde603          Vardas603           3      4      5      7      5      10     1      1      10     3      3      6      10     2      4      2      2      
Pavarde604          Vardas604           1      10     10     7      9      7      9      6      8      2      3      4      8      5      1      9      6      
Pavarde605          Vardas605           3      1      7      7      4      8      7      3      4      6      3      10     3      8      6      4      1      
Pavarde606          Vardas606           6      6      1      6      9      3      6      5      6      7      8      7      4      3      6      4      6      
Pavarde607          Vardas607           10     5      9      6      2      7      5      5      10     2      8      10     10     3      4      8      5      
Pavarde608          Vardas608           3      8      4      5      2      2      9      3      2      4      6      5      7      2      8      6      7      
Pavarde609          Vardas609           3      6      5      1      10     9      7      7      10     2      1      9      7      4      1      4      8      
Pavarde610          Vardas610           8      6      5      2      1      10     3      9      2      9      7      4      9      2      3      2      3      
Pavarde611          Vardas611           3      9      10     5      7      5      6      2      6      10     5      4      4      10     6      7      7      
Pavarde612          Vardas612           2      3      6      10     2      9      5      1      5      6      2      1      6      7      8      10     1      
Pavarde613          Vardas613           7      1      1      8      4      7      10     3      6      3      7      6      5      10     8      3      2      
Pavarde614          Vardas614           2      8      4      5      1      8      10     9      1      5      7      1      3      2      5      7      7      
Pavarde615          Vardas615           7      5      10     2      6      7      9      6      1      7      4      8      7      5      3      10     9      
Pavarde616          Vardas616           3      6      6      3      8      8      8      5      8      5      10     2      1      8      1      5      8      
Pavarde617          Vardas617           1      3      8      1      6      10     1      6      3      9      4      2      5      4      3      7      5      
Pavarde618          Vardas618           4      4      3      6      5      1      6      1      6      9      5      2      9      2      6      5      7      
Pavarde619          Vardas619           4      10     6      9      8      1      7      10     8      2      7      4      8      9      7      8      2      
Pavarde620          Vardas620           1      8      3      4      8      5      7      4      6      5      1      8      9      1      6      6      2      
Pavarde621          Vardas621           5      10     8      3      4      8      10     2      10     1      7      1      3      9      1      2      8      
Pavarde622          Vardas622           10     5      9      1      10     2      2      5      8      3      10     5      2      2      10     4      6      
Pavarde623          Vardas623           4      4      5      4      5      4      2      4      8      10     1      4      2      10     6      7      9      
Pavarde624          Vardas624           8      1      10     2      3      8      7      4      4      3      3      3      10     6      9      6      1      
Pavarde625          Vardas625           7      6      6      6      2      7      2      9      9      10     1      4      1      10     5      6      3      
Pavarde626          Vardas626           9      5      1      7      9      10     5      7      3      9      5      3      9      4      1      10     1      
Pavarde627          Vardas627           7      1      2      10     4      10     2      10     10     5      5      2      7      10     2      2      10     
Pavarde628          Vardas628           7      6      9      3      10     9      9      10     5      5      9      9      2      9      9      3      8      
Pavarde629          Vardas629           10     9      6      7      7      2      8      4      3      10     5      2      3      6      10     9      6      
Pavarde630          Vardas630           9      10     2      3      1      8      7      10     6      4      5      10     6      3      2      8      3      
Pavarde631          Vardas631           5      2      6      6      8      4      10     5      5      4      7      3      6      5      8      6      6      
Pavarde632          Vardas632           8      2      9      9      1      7      4      5      7      4      7      2      3      9      7      3      7      
Pavarde633          Vardas633           10     5      2      10     10     3      10     3      10     9      2      10     1      3      7      6      9      
Pavarde634          Vardas634           8      10     9      7      6      4      4      8      7      7      2      2      9      7      8      6      1      
Pavarde635          Vardas635           5      2      9      2      1      4      1      5      7      2      6      7      7      9      5      10     5      
Pavarde636          Vardas636           7      1      4      7      7      4      9      3      1      4      4      9      8      9      4      8      2      
Pavarde637          Vardas637           6      2      8      7      2      5      10     4      5      5      6      7      5      4      9      10     6      
Pavarde638          Vardas638           6      7      1      7      4      8      8      2      9      5      9      5      4      3      5      1      4      
Pavarde639          Vardas639           2      2      5      4      1      8      6      6      5      2      6      9      1      4      1      4      6      
Pavarde640          Vardas640           4      2      7      8      7      9      6      8      5      8      2      9      3      1      10     2      8      
Pavarde641          Vardas641           3      8      6      2      9      10     2      6      8      5      4      10     1      6      2      7      10     
Pavarde642          Vardas642           10     7      5      4      4      9      1      3      6      5      7      9      7      2      6      4      8      
Pavarde643          Vardas643           2      9      10     1      5      4      5      2      6      4      5      5      6      1      4      6      9      
Pavarde644          Vardas644           5      1      5      8      5      7      7      10     5      2      7      9      5      8      6      1      8      
Pavarde645          Vardas645           4      8      4      5      8      1      10     6      10     8      4      3      5      9      5      7      10     
Pavarde646          Vardas646           6      4      10     10     3      9      1      5      7      4      10     10     4      7      6      4      6      
Pavarde647          Vardas647           6      4      7      8      6      5      6      1      5      1      3      8      1      6      1      2      8      
Pavarde648          Vardas648           6      9      4      6      3      3      6      9      7      10     5      9      6      10     10     5      2      
Pavarde649          Vardas649           1      7      4      2      8      8      6      4      2      8      7      10     3      7      2      10     6      
Pavarde650          Vardas650           2      10     9      8      3      10     6      4      8      5      6      10     2      9      4      5      7      
Pavarde651          Vardas651           7      4      5      2      8      9      7      4      8      8      4      8      10     3      1      8      2      
Pavarde652          Vardas652           7      7      7      5      6      10     3      9      3      1      10     1      8      5      3      8      4      
Pavarde653          Vardas653           6      6      10     1      6      2      5      9      4      9      7      2      9      10     9      5      7      
Pavarde654          Vardas654           6      3      8      5      2      9      6      9      9      6      9      7      6      9      4      6      5      
Pavarde655          Vardas655           5      1      2      3      10     6      4      5      9      6      10     1      2      6      9      8      5      
Pavarde656          Vardas656           3      3      9      1      10     6      2      4      9      2      10     8      2      5      6      4      7      
Pavarde657          Vardas657           6      1      8      8      2      8      7      9      2      8      6      7      3      7      4      3      9      
Pavarde658          Vardas658           4      1      6      2      8      4      1      9      7      4      10     1      5      8      3      4      9      
Pavarde659          Vardas659           10     1      1      5      2      5      8      1      4      9      3      1      2      8      6      4      10     
Pavarde660          Vardas660           7      1      10     10     10     5      1      6      10     3      10     1      9      5      9      1      9      
Pavarde661          Vardas661           10     8      10     10     7      2      4      4      9      6      6      5      6      3      10     10     2      
Pavarde662          Vardas662           9      6      4      9      8      1      4      4      5      8      1      5      9      10     10     6      8      
Pavarde663          Vardas663           1      3      8      10     2      4      10     9      9      8      4      8      8      3      7      10     5      
Pavarde664          Vardas664           10     1      4      7      8      1      1      3      6      9      10     2      8      3      7      5      8      
Pavarde665          Vardas665           4      1      6      4      10     1      8      2      5      9      1      4      1      1      4      8      4      
Pavarde666          Vardas666           7      1      8      6      1      3      4      1      7      9      5      1      5      7      7      2      7      
Pavarde667          Vardas667           3      2      7      5      7      7      1      2      5      1      6      9      2      4      8      5      9      
Pavarde668          Vardas668           10     9      8      5      4      8      10     3      4      5      10     6      7      5      7      8      8      
Pavarde669          Vardas669           8      5      2      4      7      5      1      9      6      3      7      2      6      2      2      9      7      
Pavarde670          Vardas670           6      6      2      3      7      10     8      7      6      10     8      10     2      8      7      8      2      
Pavarde671          Vardas671           8      3      10     8      8      4      2      5      2      10     10     7      6      10     2      6      8      
Pavarde672          Vardas672           1      4      4      3      9      6      9      7      5      8      2      5      4      8      9      6      7      
Pavarde673          Vardas673           9      2      2      7      10     8      6      4      3      8      10     1      7      7      8      5      5      
Pavarde674          Vardas674           3      1      1      10     6      2      5      4      1      1      9      10     10     6      8      3      1      
Pavarde675          Vardas675           3      3      3      2      7      1      7      10     6      4      2      7      6      1      2      10     8      
Pavarde676          Vardas676           2      10     2      9      10     4      1      5      7      4      6      8      2      7      10     8      4      
Pavarde677          Vardas677           10     2      5      4      7      4      9      9      3      3      2      3      7      5      10     9      10     
Pavarde678          Vardas678           3      3      8      1      6      5      10     8      4      4      9      5      2      10     10     10     3      
Pavarde679          Vardas679           6      2      6      3      6      10     6      1      7      1      10     1      3      6      4      9      5      
Pavarde680          Vardas680           4      4      4      4      6      3      7      7      7      3      2      8      1      9      1      7      10     
Pavarde681          Vardas681           8      5      4      5      6      9      4      3      7      2      7      4      3      3      2      9      8      
Pavarde682          Vardas682           5      6      2      9      6      10     5      10     7      9      8      7      5      1      2      2      5      
Pavarde683          Vardas683           4      10     10     1      2      10     9      5      2      1      3      6      4      8      2      5      7      
Pavarde684          Vardas684           3      9      3      3      6      8      6      6      2      7      4      4      1      2      2      6      7      
Pavarde685          Vardas685           8      2      9      7      7      9      5      2      2      1      6      8      1      2      4      8      3      
Pavarde686          Vardas686           2      10     10     7      9      7      8      4      8      6      1      9      1      4      4      9      6      
Pavarde687          Vardas687           5      2      10     1      4      7      5      7      7      7      5      10     3      7      1      10     5      
Pavarde688          Vardas688           7      1      10     9      7      3      8      9      9      7      2      6      1      8      3      8      7      
Pavarde689          Vardas689           8      7      1      6      6      1      3      9      8      2      10     2      3      8      1      6      1      
Pavarde690          Vardas690           2      8      6      2      9      7      1      2      5      8      1      4      10     4      2      10     2      
Pavarde691          Vardas691           4      3      10     2      7      8      1      5      2      10     9      6      8      1      6      5      10     
Pavarde692          Vardas692           8      6      4      2      9      3      7      10     3      2      4      10     8      4      10     2      3      
Pavarde693          Vardas693           4      9      3      1      7      7      2      10     3      6      10     1      2      10     6      8      4      
Pavarde694          Vardas694           4      3      6      7      10     7      5      10     9      10     5      3      9      10     8      7      2      
Pavarde695          Vardas695           4      2      8      3      5      1      9      8      7      6      7      7      9      9      5      9      1      
Pavarde696          Vardas696           10     5      3      8      9      1      1      7      6      8      9      4      1      1      7      2      10     
Pavarde697          Vardas697           2      3      6      5      1      4      2      2      9      4      9      2      9      5      2      3      5      
Pavarde698          Vardas698           10     9      8      1      3      3      5      7      9      8      7      1      10     9      9      3      6      
Pavarde699          Vardas699           2      10     10     8      5      10     3      3      10     6      3      3      8      6      5      7      4      
Pavarde700          Vardas700           5      5      3      3      10     2      10     7      6      9      5      1      5      8      1      10     6      
Pavarde701          Vardas701           4      4      8      9      2      10     6      8      4      5      9      1      2      2      8      7      8      
Pavarde702          Vardas702           5      7      7      4      2      4      3      7      6      9      9      6      5      8      4      1      3      
Pavarde703          Vardas703           6      2      6      8      3      3      10     7      10     4      3      2      7      7      5      8      2      
Pavarde704          Vardas704           7      9      4      2      4      9      8      4      3      4      7      9      4      9      10     3      1      
Pavarde705          Vardas705           9      8      6      9      8      1      7      7      6      4      2      6      1      2      6      4      10     
Pavarde706          Vardas706           2      8      3      2      2      9      10     7      8      6      8      6      4      5      6      5      3      
Pavarde707          Vardas707           3      9      1      2      3      4      6      4      8      5      7      6      1      10     9      7      9      
Pavarde708          Vardas708           7      6      1      10     3      1      5      7      7      10     9      3      1      2      5      8      10     
Pavarde709          Vardas709           3      3      4      2      6      2      5      6      10     3      7      5      2      6      10     3      9      
Pavarde710          Vardas710           6      6      4      5      7      6      4      1      5      5      3      9      10     1      2      10     6      
Pavarde711          Vardas711           10     10     5      1      9      4      9      9      2      7      4      9      6      7      3      7      5      
Pavarde712          Vardas712           4      5      1      3      1      1      9      7      4      9      6      9      10     3      7      7      10     
Pavarde713          Vardas713           9      4      6      2      10     3      4      9      9      8      7      8      7      10     3      10     9      
Pavarde714          Vardas714           5      5      1      10     3      4      6      5      4      5      1      4      7      6      3      5      4      
Pavarde715          Vardas715           4      4      6      4      4      4      10     7      2      7      5      1      1      1      10     2      1      
Pavarde716          Vardas716           9      8      5      5      8      9      9      2      5      4      9      4      8      4      3      7      4      
Pavarde717          Vardas717           8      2      1      8      2      8      2      8      6      4      5      4      6      3      6      3      6      
Pavarde718          Vardas718           3      10     3      4      2      7      2      2      6      7      5      10     10     6      8      7      9      
Pavarde719          Vardas719           4      8      6      7      7      9      8      9      3      1      4      9      10     9      2      4      7      
Pavarde720          Vardas720           9      8      7      5      6      6      8      6      7      6      10     1      3      9      10     9      7      
Pavarde721          Vardas721           1      9      9      10     3      5      4      8      9      4      9      3      5      5      5      6      6      
Pavarde722          Vardas722           2      7      2      5      9      2      8      7      5      2      10     1      8      8      7      8      9      
Pavarde723          Vardas723           4      10     4      7      1      2      10     8      10     10     3      8      4      5      8      6      6      
Pavarde724          Vardas724           1      6      7      10     10     3      1      3      1      1      3      3      8      8      1      4      5      
Pavarde725          Vardas725           4      10     9      5      7      6      9      3      1      3      7      1      10     9      9      7      7      
Pavarde726          Vardas726           8      10     1      4      6      9      10     9      3      8      9      4      8      1      6      2      1      
Pavarde727          Vardas727           2      5      4      5      7      1      7      6      2      5      7      6      10     8      4      10     7      
Pavarde728          Vardas728           9      2      4      7      3      10     9      2      4      6      3      9      7      8      8      3      1      
Pavarde729          Vardas729           9      7      3      7      4      1      1      3      7      8      1      10     4      6      4      9      4      
Pavarde730          Vardas730           6      5      10     4      1      4      8      5      3      8      5      1      8      8      8      5      9      
Pavarde731          Vardas731           2      3      6      4      9      9      7      8      8      2      6      4      9      4      9      4      7      
Pavarde732          Vardas732           1      1      9      5      3      6      6      8      1      3      6      2      9      10     2      3      7      
Pavarde733          Vardas733           6      6      3      6      5      1      3      1      6      7      3      3      3      7      2      4      4      
Pavarde734          Vardas734           8      4      2      4      4      4      9      1      7      9      10     2      9      7      7      4      6      
Pavarde735          Vardas735           8      10     8      9      8      7      7      2      1      9      6      2      1      3      10     7      1      
Pavarde736          Vardas736           5      6      9      1      1      5      3      3      7      2      1      8      9      8      8      9      5      
Pavarde737          Vardas737           8      3      6      7      10     10     7      7      6      9      7      8      8      6      5      3      4      
Pavarde738          Vardas738           1      7      2      6      10     10     5      1      1      2      9      3      4      1      8      3      3      
Pavarde739          Vardas739           3      6      1      6      5      9      7      4      10     2      1      3      5      2      10     8      5      
Pavarde740          Vardas740           7      2      3      2      3      2      4      4      9      2      3      6      5      5      4      5      1      
Pavarde741          Vardas741           3      5      10     7      2      9      1      7      8      8      1      2      7      4      1      4      3      
Pavarde742          Vardas742           1      6      9      2      8      10     8      3      1      3      4      6      3      10     3      9      8      
Pavarde743          Vardas743           3      1      5      7      10     3      6      7      3      9      4      10     2      6      4      6      8      
Pavarde744          Vardas744           4      5      3      9      7      10     2      6      6      6      6      9      9      3      5      10     2      
Pavarde745          Vardas745           3      8      2      7      3      10     3      6      3      6      3      9      5      7      9      6      3      
Pavarde746          Vardas746           8      6      2      4      9      5      2      4      9      1      4      3      1      1      9      4      4      
Pavarde747          Vardas747           2      6      9      6      3      2      8      6      10     2      2      2      4      7      6      9      2      
Pavarde748          Vardas748           7      5      4      1      4      5      5      10     1      1      7      4      10     8      6      1      1      
Pavarde749          Vardas749           6      6      4      4      6      3      8      5      6      7      7      3      6      1      3      5      1      
Pavarde750          Vardas750           4      5      9      3      9      8      5      8      3      7      4      3      4      6      3      7      3      
Pavarde751          Vardas751           2      1      7      10     7      4      8      7      9      5      10     10     8      10     2      6      10     
Pavarde752          Vardas752           7      10     7      6      4      3      2      3      10     4      2      7      9      8      8      7      10     
Pavarde753          Vardas753           7      4      5      8      10     5      9      6      10     8      3      4      5      6      2      9      5      
Pavarde754          Vardas754           6      6      6      6      6      9      4      10     2      1      5      8      4      4      5      10     7      
Pavarde755          Vardas755           8      3      4      3      4      3      7      9      5      1      5      7      9      3      3      9      6      
Pavarde756          Vardas756           7      5      4      7      8      1      8      4      2      10     7      2      9      2      4      4      8      
Pavarde757          Vardas757           9      4      6      4      4      6      1      9      4      8      4      5      8      1      1      2      6      
Pavarde758          Vardas758           10     4      6      7      8      5      1      6      5      1      5      1      2      8      6      1      10     
Pavarde759          Vardas759           5      6      8      6      4      6      3      7      10     10     4      6      1      9      4      6      10     
Pavarde760          Vardas760           3      4      4      6      4      3      5      4      1      6      10     7      1      6      9      5      8      
Pavarde761          Vardas761           8      7      8      9      4      2      7      10     7      6      10     6      5      3      4      1      1      
Pavarde762          Vardas762           1      9      7      3      10     8      6      5      7      2      8      5      7      6      3      9      1      
Pavarde763          Vardas763           3      1      6      1      8      4      10     5      8      1      4      1      10     1      1      7      3      
Pavarde764          Vardas764           1      7      8      7      9      1      6      2      7      10     6      4      7      8      9      6      10     
Pavarde765          Vardas765           10     5      5      10     10     8      1      4      6      7      9      1      6      7      6      8      4      
Pavarde766          Vardas766           9      1      5      6      5      9      2      9      2      5      5      10     9      9      4      9      10     
Pavarde767          Vardas767           7      7      7      3      10     4      4      8      2      4      2      5      4      6      7      5      2      
Pavarde768          Vardas768           10     6      9      3      1      5      9      10     4      8      8      5      6      6      4      10     4      
Pavarde769          Vardas769           2      2      4      7      5      2      4      4      6      6      1      9      6      9      8      7      3      
Pavarde770          Vardas770           2      1      1      4      7      7      3      7      3      1      4      10     5      1      4      1      5      
Pavarde771          Vardas771           5      10     3      10     4      10     5      4      7      7      8      5      3      6      10     5      6      
Pavarde772          Vardas772           1      3      6      2      2      2      1      2      6      6      5      1      5      10     2      8      1      
Pavarde773          Vardas773           6      7      1      4      4      3      10     6      10     2      10     7      4      4      7      5      2      
Pavarde774          Vardas774           3      8      10     10     9      7      7      7      6      1      1      7      9      10     5      9      6      
Pavarde775          Vardas775           8      10     5      3      9      3      8      4      3      4      7      10     10     10     8      2      3      
Pavarde776          Vardas776           9      10     2      10     5      7      8      5      1      7      5      5      7      6      5      2      5      
Pavarde777          Vardas777           1      10     6      5      6      5      9      4      9      4      8      6      5      9      4      3      8      
Pavarde778          Vardas778           6      1      8      8      6      4      9      1      5      3      7      4      7      9      8      3      1      
Pavarde779          Vardas779           3      10     1      9      3      9      10     2      5      3      7      6      8      8      2      6      8      
Pavarde780          Vardas780           4      5      9      5      5      7      4      2      10     9      9      4      7      4      7      7      7      
Pavarde781          Vardas781           7      2      7      2      9      2      5      8      1      8      5      1      7      9      5      9      6      
Pavarde782          Vardas782           5      7      1      8      10     3      1      10     10     6      8      5      5      5      4      1      5      
Pavarde783          Vardas783           2      7      9      10     5      10     6      1      8      7      6      6      3      5      5      4      10     
Pavarde784          Vardas784           7      7      3      4      5      4      3      6      6      2      5      5      2      9      1      1      8      
Pavarde785          Vardas785           10     6      2      7      1      7      8      7      2      3      3      1      9      8      4      4      10     
Pavarde786          Vardas786           7      7      1      9      1      10     9      8      4      6      1      1      7      9      6      4      5      
Pavarde787          Vardas787           3      5      10     4      9      4      6      2      8      8      2      9      9      8      8      3      4      
Pavarde788          Vardas788           7      7      6      1      3      2      8      3      3      5      4      4      10     9      1      5      3      
Pavarde789          Vardas789           4      5      2      5      8      2      7      7      8      2      2      5      5      8      4      6      8      
Pavarde790          Vardas790           8      3      3      3      3      1      6      4      10     9      8      5      8      8      10     7      4      
Pavarde791          Vardas791           2      9      8      2      8      4      3      6      4      9      3      1      1      8      10     10     4      
Pavarde792          Vardas792           3      9      1      4      1      5      7      1      7      2      10     1      8      8      4      6      10     
Pavarde793          Vardas793           9      9      7      8      4      6      10     8      8      2      8      1      6      6      7      3      8      
Pavarde794          Vardas794           7      8      7      3      3      2      7      6      7      10     1      7      7      5      4      10     3      
Pavarde795          Vardas795           3      7      3      9      6      5      5      8      6      10     4      6      7      8      6      2      5      
Pavarde796          Vardas796           7      8      8      8      7      5      7      5      1      4      1      7      4      5      2      2      4      
Pavarde797          Vardas797           1      8      9      4      9      7      8      2      1      4      10     8      4      9      5      9      2      
Pavarde798          Vardas798           10     1      3      6      5      9      4      1      8      2      6      8      8      8      2      9      2      
Pavarde799          Vardas799           1      4      2      2      4      7      1      7      5      9      8      1      6      9      2      2      4      
Pavarde800          Vardas800           10     9      10     5      1      10     1      6      5      2      6      2      2      3      1      7      2      
Pavarde801          Vardas801           10     1      8      2      2      5      4      9      9      10     6      9      1      1      2      6      6      
Pavarde802          Vardas802           9      3      9      8      10     2      3      3      10     6      7      6      1      1      6      6      9      
Pavarde803          Vardas803           9      7      3      5      1      1      1      2      7      4      7      7      5      8      2      9      7      
Pavarde804          Vardas804           4      10     1      10     5      5      8      8      2      6      4      3      8      2      1      2      5      
Pavarde805          Vardas805           1      3      1      5      9      2      7      9      8      6      4      1      6      9      6      10     9      
Pavarde806          Vardas806           1      4      4      9      7      4      9      8      10     7      9      2      5      5      5      4      10     
Pavarde807          Vardas807           3      2      7      1      3      6      3      4      10     3      8      9      5      3      2      2      1      
Pavarde808          Vardas808           7      10     6      7      5      1      3      7      9      7      1      1      2      5      4      4      2      
Pavarde809          Vardas809           5      10     8      3      9      3      2      4      8      8      4      8      7      6      8      3      4      
Pavarde810          Vardas810           5      10     3      2      1      7      10     5      6      1      5      1      2      8      6      10     7      
Pavarde811          Vardas811           4      4      8      6      4      9      1      6      5      10     9      8      6      1      7      3      9      
Pavarde812          Vardas812           9      1      9      3      5      4      3      6      9      6      8      1      6      6      2      6      9      
Pavarde813          Vardas813           7      5      9      9      8      8      10     2      5      5      5      6      4      2      3      8      7      
Pavarde814          Vardas814           6      8      4      10     7      8      6      4      1      3      5      9      10     3      2      1      2      
Pavarde815          Vardas815           2      2      9      3      2      8      3      9      3      2      4      1      6      10     6      3      5      
Pavarde816          Vardas816           5      3      1      9      10     8      5      6      6      2      7      4      8      3      6      10     1      
Pavarde817          Vardas817           3      5      8      1      9      9      6      3      3      1      3      7      2      2      1      9      10     
Pavarde818          Vardas818           9      3      9      4      6      3      6      6      9      6      9      7      9      6      9      7      7      
Pavarde819          Vardas819           8      8      3      1      2      5      3      6      4      10     4      6      4      7      1      2      8      
Pavarde820          Vardas820           4      10     5      2      6      7      5      2      9      1      10     1      4      1      6      10     7      
Pavarde821          Vardas821           4      6      8      10     6      9      10     1      10     2      4      8      3      6      9      3      10     
Pavarde822          Vardas822           9      4      5      6      6      2      9      1      2      2      4      10     2      8      5      4      4      
Pavarde823          Vardas823           4      1      2      4      9      1      9      2      5      6      10     5      2      9      7      1      5      
Pavarde824          Vardas824           10     3      5      9      5      10     1      8      10     9      3      6      1      2      8      7      4      
Pavarde825          Vardas825           2      6      3      4      7      4      9      7      10     3      3      1      4      3      8      9      7      
Pavarde826          Vardas826           7      7      3      10     8      1      7      7      1      6      5      5      3      7      3      10     8      
Pavarde827          Vardas827           6      2      10     4      6      10     7      1      5      6      4      9      4      5      5      8      5      
Pavarde828          Vardas828           9      10     7      8      2      2      4      2      6      8      9      2      7      6      4      8      10     
Pavarde829          Vardas829           3      8      4      8      6      5      7      2      6      9      10     8      7      4      3      9      7      
Pavarde830          Vardas830           8      8      8      9      10     3      4      9      2      4      9      4      3      6      2      7      3      
Pavarde831          Vardas831           5      6      9      10     1      4      8      10     10     8      7      1      4      9      4      9      1      
Pavarde832          Vardas832           5      8      5      5      2      3      1      10     4      6      2      8      7      5      9      2      10     
Pavarde833          Vardas833           9      10     6      1      7      5      7      5      6      9      4      3      3      5      6      10     3      
Pavarde834          Vardas834           1      10     8      1      1      6      9      3      1      10     2      1      5      4      2      7      1      
Pavarde835          Vardas835           9      9      3      5      3      7      6      10     3      8      8      2      7      3      5      6      1      
Pavarde836          Vardas836           1      5      4      9      8      9      4      10     6      7      3      8      3      10     1      7      7      
Pavarde837          Vardas837           8      6      10     3      1      4      7      10     7      4      6      5      10     6      5      6      2      
Pavarde838          Vardas838           4      4      8      10     10     2      5      8      9      10     6      1      7      4      7      1      6      
Pavarde839          Vardas839           6      9      1      2      2      8      10     4      8      1      6      3      6      8      7      10     8      
Pavarde840          Vardas840           9      9      3      5      1      1      10     2      6      9      8      3      9      7      9      10     3      
Pavarde841          Vardas841           7      5      6      6      8      4      10     5      9      4      8      5      2      2      5      2      5      
Pavarde842          Vardas842           5      9      7      3      9      5      10     7      7      4      7      1      5      3      3      7      3      
Pavarde843          Vardas843           2      3      10     10     1      9      7      3      4      10     5      10     6      3      6      6      2      
Pavarde844          Vardas844           2      1      10     2      2      5      2      5      9      9      7      3      4      7      1      2      9      
Pavarde845          Vardas845           6      3      10     9      10     4      2      3      3      8      3      3      6      6      4      6      9      
Pavarde846          Vardas846           6      5      5      4      3      2      4      8      3      2      10     7      9      1      8      3      8      
Pavarde847          Vardas847           6      10     10     9      6      8      5      7      1      10     1      2      9      5      6      5      4      
Pavarde848          Vardas848           6      4      2      10     4      3      1      6      3      5      5      1      10     3      7      7      5      
Pavarde849          Vardas849           4      8      6      6      9      1      6      3      3      4      8      3      5      7      2      7      10     
Pavarde850          Vardas850           7      3      7      7      9      10     5      10     1      4      1      10     8      1      9      3      6      
Pavarde851          Vardas851           1      8      8      10     10     2      3      1      8      4      7      9      1      8      10     9      6      
Pavarde852          Vardas852           7      3      7      2      1      4      6      2      5      3      4      8      4      2      9      10     7      
Pavarde853          Vardas853           2      8      6      2      6      1      6      1      5      4      8      7      9      1      10     9      10     
Pavarde854          Vardas854           4      3      4      5      2      6      8      6      3      2      4      4      8      7      1      9      6      
Pavarde855          Vardas855           7      1      1      8      2      9      8      4      9      10     4      4      1      8      5      3      6      
Pavarde856          Vardas856           7      8      6      4      10     2      6      3      2      8      3      10     3      7      7      6      10     
Pavarde857          Vardas857           7      10     2      7      9      10     7      4      8      2      6      1      9      6      5      5      5      
Pavarde858          Vardas858           2      2      5      6      9      9      5      6      9      9      9      3      3      10     6      9      4      
Pavarde859          Vardas859           8      4      3      9      6      9      3      9      10     4      4      10     3      2      10     7      7      
Pavarde860          Vardas860           4      1      9      8      7      7      2      2      4      9      10     6      9      5      3      10     8      
Pavarde861          Vardas861           6      6      8      8      6      2      1      5      7      4      6      9      10     5      5      6      5      
Pavarde862          Vardas862           9      9      2      4      10     8      9      4      2      6      9      2      4      10     6      4      2      
Pavarde863          Vardas863           2      3      5      9      9      3      7      3      1      7      9      9      4      10     2      1      5      
Pavarde864          Vardas864           5      4      6      5      8      1      6      8      7      6      3      4      7      4      9      3      10     
Pavarde865          Vardas865           3      5      1      5      3      4      2      5      9      7      2      10     2      7      5      9      7      
Pavarde866          Vardas866           2      7      5      5      3      6      4      8      8      10     2      10     5      7      7      10     1      
